
> qualitypro@0.1.0 dev
> next dev --webpack

▲ Next.js 16.2.6 (webpack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.112:3000
✓ Ready in 438ms

○ Compiling / ...
 GET /sw.js 404 in 29ms (next.js: 1459µs, application-code: 27ms)
 GET / 200 in 143ms (next.js: 2ms, application-code: 141ms)
 GET /sw.js 404 in 28ms (next.js: 1784µs, application-code: 26ms)
 GET /sw.js 404 in 29ms (next.js: 1609µs, application-code: 27ms)
 GET / 200 in 165ms (next.js: 2ms, application-code: 163ms)
 GET / 200 in 764ms (next.js: 1547µs, application-code: 762ms)
 GET / 200 in 730ms (next.js: 1546µs, application-code: 728ms)
 GET / 200 in 563ms (next.js: 1576µs, application-code: 562ms)
 GET / 200 in 528ms (next.js: 1666µs, application-code: 526ms)
 GET / 200 in 491ms (next.js: 1524µs, application-code: 489ms)
 GET / 200 in 214ms (next.js: 1561µs, application-code: 213ms)
 GET / 200 in 124ms (next.js: 1604µs, application-code: 123ms)
 GET / 200 in 695ms (next.js: 1567µs, application-code: 694ms)
 GET / 200 in 664ms (next.js: 1701µs, application-code: 663ms)
 GET / 200 in 633ms (next.js: 1510µs, application-code: 632ms)
 GET / 200 in 598ms (next.js: 1518µs, application-code: 596ms)
 GET / 200 in 266ms (next.js: 1917µs, application-code: 264ms)
 GET / 200 in 235ms (next.js: 1531µs, application-code: 234ms)
 GET / 200 in 122ms (next.js: 1969µs, application-code: 120ms)
 GET /sw.js 404 in 31ms (next.js: 1784µs, application-code: 29ms)
 GET /sw.js 404 in 27ms (next.js: 1637µs, application-code: 26ms)
 GET / 200 in 268ms (next.js: 87ms, application-code: 181ms)
 GET / 200 in 57ms (next.js: 1757µs, application-code: 55ms)
 GET / 200 in 104ms (next.js: 3ms, application-code: 101ms)
 GET /sw.js 404 in 579ms (next.js: 360ms, application-code: 219ms)
 GET / 200 in 63ms (next.js: 1854µs, application-code: 61ms)
 GET / 200 in 160ms (next.js: 10ms, application-code: 150ms)
 GET / 200 in 108ms (next.js: 1670µs, application-code: 106ms)
 GET /sw.js 404 in 31ms (next.js: 1765µs, application-code: 29ms)
 GET / 200 in 251ms (next.js: 1784µs, application-code: 249ms)
 GET / 200 in 302ms (next.js: 1922µs, application-code: 300ms)
 GET / 200 in 183ms (next.js: 1776µs, application-code: 181ms)
 GET /sw.js 404 in 26ms (next.js: 1422µs, application-code: 25ms)
 GET /sw.js 404 in 34ms (next.js: 1698µs, application-code: 32ms)
 GET / 200 in 132ms (next.js: 1619µs, application-code: 130ms)
 GET / 200 in 125ms (next.js: 1952µs, application-code: 123ms)
 GET /sw.js 404 in 36ms (next.js: 1716µs, application-code: 35ms)
 GET / 200 in 120ms (next.js: 1623µs, application-code: 118ms)
 GET /sw.js 404 in 30ms (next.js: 1719µs, application-code: 28ms)
 GET / 200 in 135ms (next.js: 2ms, application-code: 133ms)
 GET / 200 in 128ms (next.js: 2ms, application-code: 125ms)
 GET / 200 in 117ms (next.js: 1641µs, application-code: 115ms)
 GET /sw.js 404 in 45ms (next.js: 3ms, application-code: 42ms)
 GET / 200 in 127ms (next.js: 3ms, application-code: 124ms)
 GET / 200 in 148ms (next.js: 1961µs, application-code: 146ms)
 GET / 200 in 123ms (next.js: 1566µs, application-code: 122ms)
 GET /sw.js 404 in 33ms (next.js: 1741µs, application-code: 31ms)
 GET / 200 in 130ms (next.js: 1649µs, application-code: 128ms)
 GET / 200 in 120ms (next.js: 1532µs, application-code: 119ms)
 GET / 200 in 116ms (next.js: 1574µs, application-code: 114ms)
 GET / 200 in 123ms (next.js: 1723µs, application-code: 122ms)
 GET / 200 in 132ms (next.js: 1708µs, application-code: 130ms)
 GET / 200 in 141ms (next.js: 1821µs, application-code: 139ms)
 GET / 200 in 305ms (next.js: 84ms, application-code: 221ms)
 GET / 200 in 134ms (next.js: 2ms, application-code: 131ms)
 GET / 200 in 95ms (next.js: 1948µs, application-code: 93ms)
 GET / 200 in 257ms (next.js: 1573µs, application-code: 256ms)
 GET / 200 in 366ms (next.js: 1925µs, application-code: 365ms)
 GET / 200 in 235ms (next.js: 2ms, application-code: 233ms)
 GET /sw.js 404 in 481ms (next.js: 282ms, application-code: 199ms)
 GET / 200 in 81ms (next.js: 1522µs, application-code: 80ms)
 GET / 200 in 135ms (next.js: 9ms, application-code: 126ms)
 GET / 200 in 49ms (next.js: 1572µs, application-code: 48ms)
 GET / 200 in 282ms (next.js: 1647µs, application-code: 280ms)
 GET / 200 in 446ms (next.js: 3ms, application-code: 443ms)
 GET / 200 in 281ms (next.js: 1960µs, application-code: 279ms)
 GET /sw.js 404 in 45ms (next.js: 2ms, application-code: 42ms)
 GET / 200 in 149ms (next.js: 3ms, application-code: 146ms)
 GET / 200 in 119ms (next.js: 1614µs, application-code: 117ms)
 GET / 200 in 118ms (next.js: 1603µs, application-code: 116ms)
 GET / 200 in 126ms (next.js: 1784µs, application-code: 124ms)
 GET / 200 in 116ms (next.js: 1612µs, application-code: 115ms)
 GET /sw.js 404 in 30ms (next.js: 1686µs, application-code: 29ms)
 GET / 200 in 116ms (next.js: 1618µs, application-code: 114ms)
 GET / 200 in 118ms (next.js: 1798µs, application-code: 116ms)
 GET /sw.js 404 in 32ms (next.js: 1667µs, application-code: 30ms)
 GET / 200 in 127ms (next.js: 1787µs, application-code: 125ms)
 GET / 200 in 121ms (next.js: 1608µs, application-code: 119ms)
 GET / 200 in 132ms (next.js: 1633µs, application-code: 130ms)
 GET / 200 in 118ms (next.js: 1949µs, application-code: 116ms)
 GET /sw.js 404 in 31ms (next.js: 1863µs, application-code: 29ms)
 GET /sw.js 404 in 26ms (next.js: 1445µs, application-code: 25ms)
 GET / 200 in 143ms (next.js: 1974µs, application-code: 141ms)
 GET / 200 in 124ms (next.js: 2ms, application-code: 121ms)
 GET / 200 in 125ms (next.js: 1490µs, application-code: 123ms)
 GET / 200 in 257ms (next.js: 71ms, application-code: 186ms)
 GET / 200 in 117ms (next.js: 1609µs, application-code: 115ms)
 GET / 200 in 78ms (next.js: 1497µs, application-code: 77ms)
 GET /sw.js 404 in 391ms (next.js: 294ms, application-code: 97ms)
 GET / 200 in 324ms (next.js: 11ms, application-code: 313ms)
 GET / 200 in 174ms (next.js: 1688µs, application-code: 172ms)
 GET / 200 in 291ms (next.js: 1736µs, application-code: 289ms)
 GET /sw.js 404 in 26ms (next.js: 1429µs, application-code: 25ms)
 GET / 200 in 119ms (next.js: 1636µs, application-code: 117ms)
 GET /sw.js 404 in 28ms (next.js: 1538µs, application-code: 27ms)
 GET / 200 in 117ms (next.js: 1564µs, application-code: 115ms)
 GET / 200 in 127ms (next.js: 2ms, application-code: 125ms)
 GET / 200 in 123ms (next.js: 1642µs, application-code: 121ms)
 GET / 200 in 136ms (next.js: 2ms, application-code: 133ms)
 GET /sw.js 404 in 28ms (next.js: 1873µs, application-code: 27ms)
 GET / 200 in 125ms (next.js: 2ms, application-code: 123ms)
 GET / 200 in 143ms (next.js: 2ms, application-code: 140ms)
 GET / 200 in 157ms (next.js: 2ms, application-code: 155ms)
 GET / 200 in 113ms (next.js: 1630µs, application-code: 111ms)
 GET / 200 in 131ms (next.js: 1713µs, application-code: 129ms)
 GET / 200 in 124ms (next.js: 2ms, application-code: 122ms)
 GET / 200 in 129ms (next.js: 2ms, application-code: 127ms)
 GET / 200 in 138ms (next.js: 1679µs, application-code: 137ms)
 GET / 200 in 59ms (next.js: 1942µs, application-code: 57ms)
 GET / 200 in 252ms (next.js: 95ms, application-code: 157ms)
 GET / 200 in 300ms (next.js: 1625µs, application-code: 299ms)
 GET / 200 in 124ms (next.js: 1818µs, application-code: 123ms)
 GET / 200 in 156ms (next.js: 1784µs, application-code: 154ms)
 GET / 200 in 154ms (next.js: 1913µs, application-code: 152ms)
 GET / 200 in 219ms (next.js: 2ms, application-code: 217ms)
 GET / 200 in 139ms (next.js: 1777µs, application-code: 137ms)
 GET / 200 in 220ms (next.js: 87ms, application-code: 133ms)
 GET / 200 in 57ms (next.js: 2ms, application-code: 55ms)
 GET / 200 in 299ms (next.js: 1772µs, application-code: 297ms)
 GET / 200 in 133ms (next.js: 1618µs, application-code: 131ms)
 GET / 200 in 138ms (next.js: 1857µs, application-code: 136ms)
 GET / 200 in 145ms (next.js: 1862µs, application-code: 143ms)
 GET / 200 in 148ms (next.js: 2ms, application-code: 145ms)
 GET / 200 in 127ms (next.js: 1590µs, application-code: 125ms)
 GET / 200 in 128ms (next.js: 1708µs, application-code: 127ms)
 GET / 200 in 123ms (next.js: 1683µs, application-code: 121ms)
 GET / 200 in 169ms (next.js: 3ms, application-code: 166ms)
 GET / 200 in 124ms (next.js: 1973µs, application-code: 122ms)
 GET / 200 in 123ms (next.js: 1751µs, application-code: 122ms)
 GET / 200 in 133ms (next.js: 1561µs, application-code: 132ms)
 GET / 200 in 126ms (next.js: 2ms, application-code: 124ms)
 GET / 200 in 130ms (next.js: 1831µs, application-code: 128ms)
 GET / 200 in 138ms (next.js: 1994µs, application-code: 136ms)
 GET / 200 in 148ms (next.js: 2ms, application-code: 145ms)
 GET / 200 in 132ms (next.js: 1595µs, application-code: 131ms)
 GET / 200 in 135ms (next.js: 1751µs, application-code: 133ms)
 GET / 200 in 132ms (next.js: 1716µs, application-code: 130ms)
 GET / 200 in 142ms (next.js: 1809µs, application-code: 140ms)
 GET / 200 in 137ms (next.js: 1817µs, application-code: 135ms)
 GET / 200 in 138ms (next.js: 1958µs, application-code: 136ms)
 GET / 200 in 126ms (next.js: 1655µs, application-code: 124ms)
 GET / 200 in 138ms (next.js: 1558µs, application-code: 136ms)
 GET / 200 in 124ms (next.js: 1632µs, application-code: 122ms)
